mean,median,std,rms,min,max,range,skewness,kurtosis,zero_crossings,hjorth_activity,hjorth_mobility,hjorth_complexity,q25,q75,iqr
-1.4408940328543504e-07,-4.2580941647726975e-08,1.8774134596389227e-05,1.8774687523351168e-05,-0.00011536719449529862,0.0001228294950809254,0.000238196689576224,0.6289886789991087,6.567607230948193,804,3.5246812984333883e-10,0.49237203535289464,2.4735316582648332,-9.29887703031758e-06,8.688650853708758e-06,1.7987527884026336e-05
4.475285255486627e-08,-4.655436720255713e-07,2.1525632883665886e-05,2.1525679405309604e-05,-0.00012718537847322616,0.00012848086520523153,0.0002556662436784577,-0.36766537978853414,7.107916952029564,746,4.633528710423582e-10,0.5572100220206829,2.120390831709992,-9.63874111910389e-06,9.720327364505423e-06,1.9359068483609312e-05
1.8144829317440867e-07,4.791095350563753e-07,1.4027950734858236e-05,1.4029124181598282e-05,-7.473676666295767e-05,6.17315176945447e-05,0.00013646828435750238,-0.25404736729627614,2.1213686182742775,959,1.9678340181960975e-10,0.7072713579471772,1.711428422793774,-8.225060625534009e-06,8.7976445028544e-06,1.7022705128388408e-05
-2.631552016004338e-07,-4.808979382817774e-07,2.1579138210971793e-05,2.1580742725595714e-05,-9.741179942010415e-05,0.00011114060135133298,0.00020855240077143712,0.23784442668663477,1.5888244201134025,977,4.6565920592822284e-10,0.7852024160777473,1.627551467982087,-1.354911724650773e-05,1.188051813631474e-05,2.542963538282247e-05
-2.225967966618068e-07,1.5685830288187017e-07,1.5005307083532439e-05,1.5006958053016369e-05,-9.073984133606948e-05,7.4904518709852e-05,0.00016564436004592146,-0.218178465697841,2.38218103091406,951,2.2515924067110877e-10,0.7388953624251883,1.646241116366663,-8.442621987740988e-06,8.345336936178821e-06,1.678795892391981e-05
-9.687022513458934e-08,-6.257664054140013e-07,2.93169935728234e-05,2.9317153613362367e-05,-0.00012814358382198926,0.00013727359558194757,0.0002654171794039368,0.5480812978858368,3.9234007145607164,1041,8.594861121489685e-10,0.6880097563034736,1.825413392338594,-1.4987163353628056e-05,1.3745230420579425e-05,2.873239377420748e-05
-5.956102757796529e-07,-4.981630254196684e-07,1.6527899791801607e-05,1.653862821180916e-05,-8.69826394936658e-05,0.00011953147514576781,0.00020651411463943362,0.2858648762325183,2.7885869317692347,1195,2.731714715278356e-10,0.8904813358972785,1.4166444652293608,-1.0737812963116343e-05,9.373884810418747e-06,2.011169777353509e-05
9.576944201740873e-08,-9.756721290736299e-08,1.757491483270127e-05,1.7575175764774802e-05,-0.00010903125169325506,0.00011174438209830801,0.00022077563379156305,0.006247111785137462,3.0260822717701457,1014,3.088776313767031e-10,0.7672478868699899,1.5994008229525558,-1.0201238614388833e-05,1.00073280847933e-05,2.0208566699182135e-05
2.254441191061126e-07,-1.1039414274069267e-07,1.3882659490798936e-05,1.3884489892981641e-05,-6.280342955981394e-05,7.131752947145031e-05,0.00013412095903126423,0.28591402561421847,1.8804546373761273,950,1.9272823453746977e-10,0.7844718009892692,1.5438601236454457,-8.359642644614143e-06,8.417274332882576e-06,1.6776916977496718e-05
-6.788355044104166e-08,2.0423373305674794e-07,1.432605696611066e-05,1.432621779719505e-05,-7.356814260486189e-05,6.980816741355647e-05,0.00014337631001841834,0.03674898924978913,2.4570366377429,872,2.0523590819624774e-10,0.6278579329310283,1.8986979342702037,-7.791332094618182e-06,7.755471763764724e-06,1.5546803858382904e-05
-4.061882982573134e-07,-6.409484279413399e-07,1.7340964085190424e-05,1.734572063471291e-05,-0.00013597300587347812,0.0001303972066756235,0.0002663702125491016,-0.16125129563503054,6.788405656522336,1004,3.0070903540386414e-10,0.7405073064906655,1.633001537679176,-9.538075279479759e-06,8.971783189758656e-06,1.8509858469238413e-05
-1.187540339469484e-08,-3.1681471644985136e-07,1.354250171329369e-05,1.3542506920056136e-05,-7.705240789412845e-05,7.084232718458622e-05,0.00014789473507871467,0.19005126072538453,2.1088143265604025,997,1.833993526545625e-10,0.8198403031706527,1.5162905149851478,-7.826683501593061e-06,7.417839919558735e-06,1.5244523421151797e-05
-1.336263639421265e-07,-2.1999251921784e-07,1.2672079693791815e-05,1.2672784215433926e-05,-5.178564935876965e-05,5.883401161691802e-05,0.00011061966097568767,0.015503143255436749,0.4501340042499362,1143,1.6058160376581085e-10,0.8982962772232406,1.4053537130413722,-8.541606612345318e-06,8.025311980574076e-06,1.6566918592919392e-05
6.194433385695334e-08,1.7425903556430832e-07,1.9836653556990713e-05,1.9836750274189806e-05,-0.00011506969854891925,0.00013350379393608749,0.00024857349248500675,0.12367171237667987,1.6535134123138606,1130,3.9349282434007233e-10,0.921063801590323,1.3477953045919064,-1.238738092402278e-05,1.206339623285916e-05,2.445077715688194e-05
-2.347785566820589e-07,-2.7055107869173797e-07,1.6251457333445878e-05,1.6253153122747888e-05,-7.502966237749644e-05,7.069346282706386e-05,0.00014572312520456032,0.012866239517051554,1.0820229698262196,1039,2.6410986546081177e-10,0.7975686700099128,1.5568645657301745,-1.0021125617714552e-05,9.660136498538864e-06,1.9681262116253415e-05
-5.52494040289082e-08,-1.688825629579582e-07,1.6123467223197768e-05,1.612356188297667e-05,-8.429560343409155e-05,0.00012667253842844802,0.00021096814186253958,0.5003660722511467,5.271818986124785,987,2.599661952975327e-10,0.6922413174043628,1.7787333055842658,-9.408201095559711e-06,8.816354062718504e-06,1.8224555158278215e-05
