Metric,Ground Truth,Predicted,Error
Sleep_Onset,13.5,1.5,12.0
REM_latency,96.5,1.5,95.0
Total_Sleep_Time,6.258333333333334,5.991666666666666,0.2666666666666675
Sleep_Efficiency,69.3444136657433,66.38965835641736,2.9547553093259467
WASO,152.5,180.5,28.0
Awakenings,47.0,101.0,54.0
