Metric,Ground Truth,Predicted,Error
Sleep_Onset,13.5,14.0,0.5
REM_latency,96.5,2.0,94.5
Total_Sleep_Time,6.258333333333334,5.458333333333333,0.8000000000000007
Sleep_Efficiency,69.3444136657433,60.48014773776546,8.86426592797784
WASO,152.5,200.0,47.5
Awakenings,47.0,103.0,56.0
