Metric,Ground Truth,Predicted,Error
Sleep_Onset,13.5,14.0,0.5
REM_latency,96.5,2.0,94.5
Total_Sleep_Time,6.258333333333334,6.183333333333334,0.07500000000000018
Sleep_Efficiency,69.3444136657433,68.51338873499539,0.8310249307479154
WASO,152.5,156.5,4.0
Awakenings,47.0,117.0,70.0
